keyspace	worload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeeLength-castle	AvgSeeLength-icdcn	AvgSeeLength-ppop	AvgSeeLength-citrus	AvgSeeLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeeTime-castle	SeeTime-icdcn	SeeTime-ppop	SeeTime-citrus	SeeTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley
200000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0.55	0.5	0.61	0.49	0.48	0.59	0.55	0.75	0.56	0.79	1.15	0.92	1.78	1.17	21.66	21.69	23.54	22.72	21.68	40.2	40.2	38.8	42.2	40.2	40.2	39.6	41.4	41.4	39.6	0.36	0.47	0.43	0.52	0.42	7.4	6.06	6.51	4.97	6.55	1.37	1.41	1.68	6.04	2.03	1.37	70.07	63.88	91.85	64.85	1.13	0.93	0.99	0.76	1
200000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0.54	0.5	0.67	0.51	0.48	0.58	0.55	0.81	0.58	0.81	1.15	0.94	1.94	1.19	21.54	21.56	23.47	22.62	21.56	40.2	40.2	38.8	42.2	40.2	39.8	39	40.8	42	38.8	0.37	0.47	0.43	0.55	0.43	14.74	12.33	13.03	8.75	12.65	1.22	1.39	1.68	9.86	2.11	1.22	69.31	63.66	86.04	63.7	1.17	0.97	1.03	0.69	1
200000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0.54	0.51	0.77	0.52	0.49	0.59	0.56	0.94	0.59	0.82	1.16	0.94	2.33	1.21	21.44	21.45	23.41	22.53	21.45	40.2	40.2	38.8	42.2	40.2	39.2	38.8	40.2	40.6	38.4	0.38	0.47	0.43	0.6	0.45	28.95	24.64	25.79	14.61	25.03	1.13	1.37	1.69	14.03	2.19	1.13	68.61	62.54	76.1	62.75	1.16	0.98	1.03	0.58	1
200000	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0.47	0.55	0.52	0.84	0.53	0.52	0.6	0.57	1.05	0.61	0.85	1.19	0.96	30.47	1.24	21.32	21.34	23.36	22.48	21.33	40.2	40.2	38.8	42.2	40.2	37.8	38.8	39.8	40.8	38	0.4	0.48	0.45	0.65	0.46	55.13	48.08	50.74	21.76	48.97	1.08	1.37	1.72	14.76	2.31	1.08	67.76	62.09	69.05	61.83	1.13	0.98	1.04	0.44	1
1000000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.76	0.91	0.98	0.9	0.61	0.79	0.95	1.1	0.96	0.68	0.94	1	1.3	1.22	25.38	25.41	27.16	26.46	25.43	47.8	47.8	45.2	49.8	47.8	48	48.8	49.8	50.6	48.6	0.51	0.69	0.84	0.92	0.83	1.45	1.16	0.98	0.92	0.98	5.97	7.28	17.65	13.81	14.65	5.97	20.76	22.73	31.21	29.19	1.48	1.18	1	0.94	1
1000000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.89	1.1	1.12	1	0.72	0.93	1.15	1.27	1.07	1	1.37	1.28	2	1.47	25.31	25.34	27.13	26.39	25.36	47.8	47.8	45.2	49.8	47.8	47.6	47.8	48.8	49.8	47.8	0.6	0.82	1.03	1.06	0.93	2.56	1.99	1.66	1.61	1.78	7.62	7.58	17.28	12.46	15.43	7.62	57.07	44.24	53.5	44.78	1.44	1.12	0.93	0.9	1
1000000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0.97	1.19	1.25	1.04	0.78	1.01	1.24	1.42	1.11	1.13	1.56	1.45	2.43	1.6	25.21	25.25	27.05	26.3	25.26	47.8	47.8	45.2	49.8	47.8	47.6	47.4	49	49.4	47.8	0.67	0.9	1.12	1.16	0.97	4.7	3.69	3.08	2.77	3.44	9.05	7.52	17.09	14.04	16.36	9.05	60.38	51.32	88.95	49.96	1.37	1.07	0.9	0.81	1
1000000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	1	1.22	1.31	1.08	0.82	1.04	1.26	1.47	1.15	1.17	1.6	1.47	2.62	1.64	25.11	25.14	26.96	26.19	25.15	47.8	47.8	45.2	49.8	47.8	46.8	47.4	48.2	49.4	47.4	0.71	0.93	1.14	1.21	1.02	9.03	7.2	6.05	5.24	6.63	10.21	7.38	17.34	14.84	17.18	10.21	58.91	49.17	91.42	47.14	1.36	1.09	0.91	0.79	1
1000000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	1.02	1.23	1.34	1.14	0.87	1.06	1.28	1.51	1.21	1.22	1.61	1.5	2.84	1.69	25.01	25.04	26.87	26.1	25.06	47.8	47.8	45.2	49.8	47.8	46	45.6	47.6	48.4	46	0.75	0.94	1.17	1.24	1.07	17.27	14.14	11.93	10.12	12.67	11.32	7.38	17.8	15.36	18.33	11.32	58.08	47.43	82.37	44.37	1.36	1.12	0.94	0.8	1
1000000	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89	1.04	1.3	1.4	1.23	0.93	1.08	1.36	1.57	1.29	1.29	1.66	1.57	60.54	1.79	24.91	24.94	26.8	26.04	24.96	47.8	47.8	45.2	49.8	47.8	46.4	45.8	48.2	48.4	46.6	0.82	0.96	1.23	1.29	1.16	32.17	27.88	22.57	14.64	23.64	12.41	7.42	18.05	15.7	19.5	12.41	57.63	46.97	73	42.73	1.36	1.18	0.95	0.62	1
