keyspace	workload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeekLength-castle	AvgSeekLength-icdcn	AvgSeekLength-ppop	AvgSeekLength-citrus	AvgSeekLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeekTime-castle	SeekTime-icdcn	SeekTime-ppop	SeekTime-citrus	SeekTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley	2ndBest	castle%	icdcn%	icdcnVsPpop
2097152	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	1.28	1.35	1.61	1.87	1.74	1.35	1.43	1.69	2.08	1.84	1.54	1.74	1.74	3.82	2.09	25.8	25.83	27.22	26.93	25.85	50.8	50.8	49.4	52.8	50.8	47.6	46.2	49.2	49.4	47.8	1.21	1.28	1.54	1.76	1.68	22.42	21.19	18.37	13.41	16.73	20.73	11.68	23.4	22.41	27.11	69	65.7	47.17	67.99	49.37	1.34	1.27	1.1	0.8	1	18.37	22.05	15.35	1.15
4194304	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	1.79	2.04	2.33	2.11	1.59	1.86	2.1	2.54	2.2	1.75	2.12	2.14	6.33	2.43	27.32	27.35	28.71	28.47	27.38	54.2	54.2	52	56.2	54.2	51	51.4	52.8	53.2	50.2	1.46	1.72	1.97	2.22	2.04	19.2	16.51	14.77	10.49	14.09	24.33	14.96	28.02	25.04	30.82	58.63	55.49	39.79	71.38	43.77	1.36	1.17	1.05	0.74	1	14.77	29.99	11.78	1.12
8388608	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84	2.27	2.48	2.89	2.56	1.88	2.32	2.56	3.09	2.65	2.03	2.54	2.57	5.02	2.9	28.86	28.89	30.21	29.99	28.92	56.8	56.8	55.2	58.8	56.8	54.2	54	56.4	56.2	54.6	1.76	2.19	2.41	2.78	2.5	16.25	13.27	12.27	9.35	11.73	26.86	18.26	32.06	28.43	34.56	50.16	46.52	36.15	70.05	41.68	1.39	1.13	1.05	0.8	1	12.27	32.44	8.15	1.08
16777216	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	2.78	2.97	3.56	3.12	2.25	2.83	3.05	3.77	3.2	2.39	3.02	3.05	6.97	3.46	30.62	30.65	31.93	31.75	30.67	60.2	60.2	58.8	62.2	60.2	58	58.2	60	60.8	58.8	2.12	2.7	2.91	3.44	3.05	13.74	10.98	10.32	7.59	9.72	29.98	21.96	35.16	33.15	37.88	43.75	40.14	34.47	69.75	40.56	1.41	1.13	1.06	0.78	1	10.32	33.14	6.40	1.06
8192	0-50-50	32	0.11	0.09	0	0	1.08	0.22	0.11	0.18	0.25	0.15	1.33	0.16	0.04	0.17	0.11	nan	nan	nan	nan	nan	0.79	0.95	0.75	2.2	0.89	0.89	1.2	0.75	4.65	1.03	27.66	27.49	14.3	27.49	27.71	28.4	28.4	25.6	30.4	28.4	62.6	60.6	23.8	62.6	60.2	0.62	0.76	0.54	1.54	0.64	33.67	27.05	37.51	8.43	29.7	39.06	38.59	43.68	46.32	29.43	72.21	68.25	56.13	62.24	62.76	1.13	0.91	1.26	0.28	1	37.51	-10.24	-27.89	0.72
16384	0-50-50	32	0.07	0.04	0	0	0.6	0.15	0.05	0.09	0.12	0.07	0.87	0.08	0.02	0.08	0.05	nan	nan	nan	nan	nan	0.88	1	0.79	2.18	0.96	0.99	1.24	0.79	4.58	1.09	35.92	35.19	15.67	33.39	35.34	30.2	30.2	29	32.2	30.2	87.8	87	27	88	88.4	0.71	0.81	0.58	1.57	0.72	31.3	26.13	35.64	8.52	27.9	34.7	38.3	33.67	44.82	20.36	71.64	67.43	55.34	61.62	62.38	1.12	0.94	1.28	0.31	1	35.64	-12.18	-26.68	0.73
32768	0-50-50	32	0.06	0.02	0	0	0.31	0.13	0.03	0.04	0.06	0.03	0.55	0.04	0.01	0.04	0.02	nan	nan	nan	nan	nan	0.96	1.05	0.82	2.15	1.05	1.05	1.28	0.84	4.53	1.19	42.53	41.6	17.06	29.57	41.86	33.4	33.4	31.6	35.4	33.4	119	121.8	29.4	123	119.2	0.79	0.87	0.63	1.56	0.81	28.71	25.12	34.04	8.64	25.79	24.79	36.53	24.25	42.57	13.81	71.1	66.76	55.18	61.55	62.36	1.11	0.97	1.32	0.34	1	34.04	-15.66	-26.20	0.74
65536	0-50-50	32	0.04	0.01	0	0	0.1	0.08	0.01	0.02	0.03	0.02	0.53	0.02	0	0.02	0.01	nan	nan	nan	nan	nan	0.95	0.99	0.9	2.09	1.04	1.04	1.2	0.91	4.46	1.17	31.76	29.57	18.49	20.02	29.54	36.2	36.2	34.4	38.2	36.2	157.2	151.2	32.6	95	149.6	0.78	0.8	0.69	1.52	0.8	29.1	26.65	31.56	8.82	26.11	17.03	32.14	18.64	39.7	10.26	71.42	66.41	55.52	62.55	61.93	1.11	1.02	1.21	0.34	1	31.56	-7.79	-15.56	0.84
131072	0-50-50	32	0.01	0.01	0	0	0.04	0.03	0.01	0.01	0.02	0.01	0.22	0.01	0	0.01	0.01	nan	nan	nan	nan	nan	0.92	0.95	0.93	2.12	1.03	1.01	1.16	0.93	4.68	1.16	21.2	20.79	19.94	19.94	20.76	38.6	38.6	37.6	40.6	38.6	115.4	111.6	35.4	70.8	110	0.75	0.77	0.72	1.57	0.78	30.04	27.63	30.62	8.52	26.44	13.31	26.44	15.08	36.09	8.55	72.36	66.86	55.97	62.38	62.09	1.14	1.05	1.16	0.32	1	30.62	-1.89	-9.76	0.90
262144	0-50-50	32	0.01	0	0	0	0.02	0.01	0	0	0.01	0	0.12	0	0	0	0	nan	nan	nan	nan	nan	0.93	0.98	0.97	2.08	1.07	1.02	1.19	0.96	4.39	1.2	20.77	20.79	21.35	21.19	20.71	41.2	41.2	39.6	43.2	41.2	82.2	80.8	39.2	50.2	75.2	0.76	0.81	0.76	1.57	0.81	29.69	26.86	29.81	8.94	25.6	11.61	21.14	12.67	32.2	7.9	73.14	67.31	56.11	63.07	62.41	1.16	1.05	1.16	0.35	1	29.81	-0.40	-9.90	0.90
524288	0-50-50	32	0	0	0	0	0.01	0	0	0	0	0	0.04	0	0	0	0	nan	nan	nan	nan	nan	0.96	1.04	1.04	2.1	1.15	1.06	1.24	1.04	4.92	1.28	22.05	21.99	22.8	22.72	22.04	44.6	44.6	42.4	46.6	44.6	62.2	58.2	41	41.8	59.4	0.79	0.86	0.83	1.6	0.91	28.74	25.72	28.12	8.41	23.99	10.91	16.47	11.99	28.49	10.44	73.67	67.44	56.08	64.18	62.38	1.2	1.07	1.17	0.35	1	28.12	2.20	-8.53	0.91
1048576	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	nan	nan	nan	nan	nan	1.05	1.14	1.29	2.21	1.51	1.16	1.33	1.29	4.29	1.65	23.51	23.5	24.24	24.18	23.56	48.2	48.2	45.4	50.2	48.2	46.8	43.2	43.6	44	43.4	0.89	0.96	1.1	1.76	1.29	26.49	23.86	22.85	8.96	18.85	12.79	12.85	15.93	27.19	19.25	73.55	67.25	53.4	63.69	57.75	1.41	1.27	1.21	0.48	1	22.85	15.93	4.42	1.04
2097152	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	1.38	1.37	1.65	2.46	1.96	1.49	1.56	1.62	4.2	2.08	25.09	25.1	25.73	25.75	25.14	50.8	50.8	49.4	52.8	50.8	45.2	45.2	47.6	46.8	45	1.24	1.2	1.47	2.04	1.76	20.75	20.4	18.39	8.82	14.99	20.95	13.09	22.52	27.47	27.69	68.4	64.58	45.54	62.67	49.81	1.38	1.36	1.23	0.59	1	18.39	12.83	10.93	1.11
4194304	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	1.72	1.72	2.04	2.8	2.33	1.83	1.9	2.04	5.17	2.46	26.63	26.64	27.19	27.28	26.67	54.2	54.2	52	56.2	54.2	48.4	48.2	50.4	51	48.6	1.6	1.58	1.9	2.41	2.16	17.05	16.69	14.82	7.55	12.73	27.35	15.39	27.7	28.41	32.3	59.09	56.48	37.58	63.02	42.98	1.34	1.31	1.16	0.59	1	14.82	15.05	12.62	1.13
8388608	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	1.98	2.14	2.45	3.21	2.71	2.08	2.28	2.43	4.61	2.84	28.17	28.17	28.67	28.79	28.22	56.8	56.8	55.2	58.8	56.8	52.2	51.4	53.8	55.2	52.6	1.86	2.01	2.32	2.85	2.54	15.03	13.82	12.56	7.65	11.06	30.03	17.86	31.87	30.52	35.53	49.96	46.79	32.5	63.3	38.96	1.36	1.25	1.14	0.69	1	12.56	19.67	10.03	1.10
16777216	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	2.27	2.63	2.95	3.85	3.14	2.37	2.76	2.93	5.37	3.28	29.92	29.94	30.39	30.55	29.98	60.2	60.2	58.8	62.2	60.2	55.2	55.8	57	58	55.4	2.16	2.51	2.82	3.5	2.97	13.19	11.44	10.5	6.58	9.62	32.22	20.82	35.52	33.61	38.3	43.62	39.14	30.11	62.46	37.28	1.37	1.19	1.09	0.68	1	10.5	25.62	8.95	1.09
