keyspace	workload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeekLength-castle	AvgSeekLength-icdcn	AvgSeekLength-ppop	AvgSeekLength-citrus	AvgSeekLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeekTime-castle	SeekTime-icdcn	SeekTime-ppop	SeekTime-citrus	SeekTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley
2097152	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	1.1	1.39	1.51	1.9	1.46	1.19	1.47	1.6	2.13	1.57	1.38	1.79	1.66	8.49	1.81	26.27	26.3	27.61	27.46	26.31	51.3	51.3	50	53.3	51.3	49.4	49.2	50.2	52.1	50.1	1.03	1.31	1.45	1.79	1.39	25.45	20.63	19.36	11.5	19.63	16.27	11.71	21.26	22.87	22.76	72.32	65.57	48.33	69.5	51.55	1.30	1.05	0.99	0.59	1.00
4194304	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37	1.8	1.91	2.33	1.89	1.44	1.86	1.99	2.55	1.99	1.61	2.12	2.02	9.14	2.22	27.79	27.84	29.15	28.99	27.85	54.1	54.1	52.6	56.1	54.1	52.9	52.6	54.1	55.6	52.8	1.3	1.73	1.84	2.21	1.82	21.13	16.4	15.65	9.8	15.57	19.82	15.91	25.78	26.81	27.52	63.15	56.1	41.27	70.34	47.82	1.36	1.05	1.01	0.63	1.00
8388608	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77	2.19	2.29	2.78	2.41	1.83	2.25	2.37	3.03	2.5	1.99	2.46	2.38	15.39	2.72	29.34	29.36	30.61	30.49	29.37	56.4	56.4	55.2	58.4	56.4	56.8	56.5	58	59.6	56.5	1.69	2.12	2.22	2.66	2.34	16.79	13.7	13.2	8	12.42	24.07	20.63	29.11	31.59	32.12	54.61	48.27	37.6	68.04	47.87	1.35	1.10	1.06	0.64	1.00
16777216	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21	2.53	2.65	3.26	3	2.27	2.59	2.74	3.52	3.1	2.41	2.78	2.72	17.28	3.29	30.93	30.93	31.94	32.05	30.94	59.7	59.7	58.3	61.7	59.7	60	59.7	61.1	61.9	60.2	2.14	2.46	2.58	3.14	2.93	13.65	11.95	11.51	6.79	10.11	28.34	25.59	31.63	36.61	36.04	46.78	43.75	36.59	65.92	50.91	1.35	1.18	1.14	0.67	1.00
8192	0-50-50	32	0.25	0.09	0	0	1.06	0.7	0.11	0.18	0.25	0.15	4.45	0.16	0.04	0.17	0.11	0	0	0	0	0	0.81	0.97	0.77	2.14	0.91	0.92	1.29	0.76	4.56	1.04	27.57	26.91	14.51	23.22	27.05	28.1	28.1	26	30.1	28.1	61.7	62.7	24.3	65.7	62.7	0.63	0.75	0.55	1.49	0.64	33.01	25.95	36.56	8.6	29.34	39.02	38.93	44.41	46.14	29.42	72.21	67.87	56.08	62.64	62.6	1.13	0.88	1.25	0.29	1.00
16384	0-50-50	32	0.18	0.04	0	0	0.48	0.62	0.06	0.09	0.13	0.07	2.9	0.08	0.02	0.09	0.06	0	0	0	0	0	0.83	0.94	0.83	2.07	0.93	0.93	1.21	0.8	4.44	1.05	28.17	25.87	15.89	17.25	26.89	30.5	30.5	29	32.5	30.5	88.7	85.9	27.9	59.8	89	0.66	0.73	0.58	1.46	0.66	32.39	27.16	34.81	8.84	28.86	34.91	38.66	35.2	44.6	20.64	71.53	67.11	55.39	62.44	62.07	1.12	0.94	1.21	0.31	1.00
32768	0-50-50	32	0.16	0.02	0	0	0.16	0.39	0.03	0.04	0.06	0.04	2.46	0.04	0.01	0.04	0.03	0	0	0	0	0	0.8	0.89	0.86	2.09	0.92	0.9	1.14	0.83	4.44	1.04	18.88	18.32	17.3	17.25	18.26	33.9	33.9	31.7	35.9	33.9	78.4	71	29.9	45.8	72.7	0.63	0.68	0.62	1.5	0.65	33.5	28.54	33.69	8.81	29.07	26.3	36.87	25.97	42.5	14.64	71.09	66.47	55.21	62.79	61.93	1.15	0.98	1.16	0.30	1.00
65536	0-50-50	32	0.06	0.01	0	0	0.08	0.25	0.01	0.02	0.03	0.02	2.64	0.02	0	0.02	0.01	0	0	0	0	0	0.84	0.92	0.89	2.09	0.94	0.93	1.15	0.88	4.55	1.07	18.41	18.17	18.76	18.7	18.15	36.8	36.8	34.7	38.8	36.8	55.7	54.5	33	35.1	53.4	0.66	0.71	0.66	1.52	0.68	32.38	28.17	32.2	8.69	28.32	19.73	32.23	20.06	39.63	11.62	71.49	66.42	55.55	62.99	62.15	1.14	0.99	1.14	0.31	1.00
131072	0-50-50	32	0.04	0.01	0	0	0.04	0.1	0.01	0.01	0.02	0.01	0.99	0.01	0	0.01	0.01	0	0	0	0	0	0.85	0.96	0.94	2.12	1	0.95	1.19	0.91	4.87	1.12	19.63	19.51	20.21	20.2	19.53	39.6	39.6	37.7	41.6	39.6	44	42	36	36.5	41.6	0.68	0.77	0.7	1.55	0.72	31.78	27.1	30.97	8.32	27.1	16.49	26.29	16.07	36.12	10.12	72.41	66.88	55.94	63.45	62.41	1.17	1.00	1.14	0.31	1.00
262144	0-50-50	32	0.02	0	0	0	0.02	0.06	0	0	0.01	0	0.67	0	0	0.01	0	0	0	0	0	0	0.88	1.03	0.98	2.09	1.01	0.98	1.24	0.96	5.18	1.14	21.06	21.01	21.63	21.72	21.02	42.3	42.3	40.1	44.3	42.3	36.7	36.8	39	40.2	37.7	0.71	0.83	0.75	1.56	0.75	30.96	25.81	29.66	8.08	26.86	14.72	20.82	13.37	31.83	9.2	73.22	67.24	56.16	63.69	62.55	1.15	0.96	1.10	0.30	1.00
524288	0-50-50	32	0.02	0	0	0	0.01	0.07	0	0	0	0	0.37	0	0	0	0	0	0	0	0	0	0.91	1.09	1.06	2.1	1.1	1.01	1.29	1.03	4.84	1.23	22.54	22.52	23.08	23.22	22.53	45.5	45.5	43.5	47.5	45.5	40	40	42.3	42.6	40.2	0.74	0.9	0.82	1.61	0.84	30.05	24.57	27.76	8.5	24.89	13.27	16.05	12.42	28.04	11.33	73.76	67.36	56.1	64.08	62.69	1.21	0.99	1.12	0.34	1.00
1048576	0-50-50	32	0	0	0	0	0	0.01	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0.99	1.18	1.26	2.25	1.39	1.09	1.38	1.22	5.09	1.52	24.03	24.05	24.55	24.74	24.07	48.7	48.7	46.6	50.7	48.7	44.6	43.4	45.4	46.6	43.8	0.82	0.99	1.03	1.78	1.14	28	23.14	23.77	8.16	20.36	13.88	12.52	15.49	26.55	18.58	73.87	67.16	53.7	63.13	58.65	1.38	1.14	1.17	0.40	1.00
2097152	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	1.21	1.41	1.58	2.5	1.71	1.32	1.6	1.55	5.48	1.82	25.57	25.6	26.05	26.29	25.62	51.3	51.3	50	53.3	51.3	48	47.8	48.8	49.9	47.2	1.06	1.24	1.38	2.06	1.48	23.36	19.85	19.19	7.74	17	18.8	12.83	20.93	27.19	24.18	70.23	64.49	46.4	63.42	51.08	1.37	1.17	1.13	0.46	1.00
4194304	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	1.43	1.76	1.93	2.87	2.04	1.53	1.93	1.89	6.66	2.15	27.1	27.13	27.55	27.82	27.15	54.1	54.1	52.6	56.1	54.1	51.3	50.7	51.8	53.6	50.5	1.3	1.62	1.76	2.46	1.84	20.15	16.39	15.91	6.68	14.46	22.45	15.43	25.68	28.86	28.21	62.11	56.45	38.82	63.72	44.99	1.39	1.13	1.10	0.46	1.00
8388608	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	2.2	2.33	3.33	2.52	1.77	2.34	2.3	7.3	2.63	28.64	28.68	29.09	29.36	28.71	56.4	56.4	55.2	58.4	56.4	54.3	54.4	55.4	56.9	54.7	1.56	2.07	2.18	2.94	2.32	17.51	13.48	13.22	6.03	11.87	25.16	18.67	29.48	31.8	32.11	54.04	47.49	34.07	62.49	42.35	1.48	1.14	1.11	0.51	1.00
16777216	0-50-50	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04	2.62	2.77	3.86	3.03	2.14	2.74	2.74	7.51	3.16	30.31	30.35	30.74	31.02	30.38	59.7	59.7	58.3	61.7	59.7	57.6	58	58.8	61	57.9	1.93	2.49	2.62	3.48	2.85	14.59	11.5	11.19	5.64	9.96	28.55	22.59	32.84	35.8	36.04	48	40.87	32.27	61.58	43.01	1.46	1.15	1.12	0.57	1.00
